idpagina,comentario,id,fecha,contadorlikes,contadorrespuestas
SolcaPortoviejo/192107524275402_769979308645523/192107524275402_769979308645523,Sentidas condolencias a su familia. Descanse en paz.,1637,2024-06-06 23:16:07,0,0
SolcaPortoviejo/192107524275402_769979308645523/192107524275402_769979308645523,Mis sentidas condolencias para toda su familia. El Dr Brucker ya descansa en los brazos del Señor,1638,2024-06-08 11:59:17,0,0
SolcaPortoviejo/192107524275402_769369108706543/192107524275402_769369108706543,Sintiendo mucho dios lo tenga en su santa gloria y si hay tres día de luto si habrá atención en el hospital de Portoviejo tengo un familiar en tratamiento,1640,2024-06-05 13:00:29,0,0
SolcaPortoviejo/192107524275402_769369108706543/192107524275402_769369108706543,Excelente profesional..persona muy dedicada a los pacientes demostrando mucho interés en la salud de ellos...se nos fue un icono de los médicos manabitas.😪😪😭😭😭,1641,2024-06-05 13:13:03,0,0
SolcaPortoviejo/192107524275402_769369108706543/192107524275402_769369108706543,Descanse en Paz estimado amigo Dr Brucker García Loor. Mi pesar a sus familiares,1642,2024-06-05 13:15:42,0,0
"SolcaPortoviejo/192107524275402_769369108706543/192107524275402_769369108706543,""Mi sentida nota de pesar a toda su distinguida familia, Brucker será recordado siempre por sus acciones y logros dentro y fuera de la institución, amigo de siempre y compañero del directorio donde se lo extrañará, paz en su tumba al honorable amigo🙏🙏🙏"",1643,2024-06-05 13:33:24,2,0"
SolcaPortoviejo/192107524275402_769369108706543/192107524275402_769369108706543,Paz en su tumba amén,1644,2024-06-05 13:47:19,0,0
SolcaPortoviejo/192107524275402_769369108706543/192107524275402_769369108706543,Descanse en la Paz del Señor Jesucristo Dr. Brucker García Loor. Dios Mitigue el dolor de su Familia.,1645,2024-06-05 14:05:46,0,0
SolcaPortoviejo/192107524275402_769369108706543/192107524275402_769369108706543,QUEDÓ dialectos amigos de la familia,1646,2024-06-05 18:45:46,0,0
"SolcaPortoviejo/192107524275402_769369108706543/192107524275402_769369108706543,""Lamento mucho su partida un Doctor tan solidario con una empatía única ,le agradezco a Dios por permitirme conocerlo fué un Ángel que me ayudó en mi tratamiento mis condolencias a toda su familia."",1647,2024-06-05 20:18:01,0,0"
SolcaPortoviejo/192107524275402_769369108706543/192107524275402_769369108706543,AMEN,1648,2024-06-06 01:41:31,0,0
"SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,""Mis sentidas condolencias por tan irreparable pérdida, Dios lo tenga en su santa gloria"",1650,2024-06-05 05:57:58,0,0"
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,🙏🙏🙏,1651,2024-06-05 06:15:26,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Descanse en paz.,1652,2024-06-05 06:26:21,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Dios lo tenga en su santa gloria al dr Bruker García,1653,2024-06-05 06:47:17,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Descanse en Paz Dr🎗️y brille para el la luz eterna 🕯️,1654,2024-06-05 07:04:41,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Descanse en Paz,1655,2024-06-05 07:51:55,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Se fue el amigo de todos ... Una pena inmensa invade mi corazón,1656,2024-06-05 08:08:37,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,🙏🙏,1657,2024-06-05 09:07:17,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Sentidas Condolencias 🙏 🕊️ 😔,1658,2024-06-05 09:08:36,0,0
"SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,""Un sentido abrazo a sus familiares, Paz en tumba Dr. Brucker García.. amén"",1659,2024-06-05 09:11:57,0,0"
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Nuestros sentimientos de pesar a su esposa Yara Guerrero  a su apreciada familia y a uds. SOLCA Manabí nuestro corazón muy triste,1660,2024-06-05 09:50:47,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Mí más sentido pésame a la familia y que Dios lo tenga en su santa gloria 🙏🙏🙏,1661,2024-06-05 10:16:01,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Descanse ena Paz  doctor  que el señor lo acoja en su santo reino,1662,2024-06-05 10:17:05,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,SALMOS 116:15 Estimada es a los ojos de Jehová la muerte de sus santos.  Que el Señor les de consuelo y fortaleza a sus familiares en estos momentos de dolor y tristeza🫂,1663,2024-06-05 10:37:39,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Descanse en paz,1664,2024-06-05 10:46:28,1,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Descansa en paz. más que un colega un amigo que dios lo tenga en su reino,1665,2024-06-05 10:50:48,1,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,🙏🙏,1666,2024-06-05 10:54:22,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Mi sentido pésame a los familiares un colega humilde saludaba a todo el mundo no como algunos jóvenes Dres no saludan a nadie se cree la mamá de Tarzán y no saben nada es mi opinión humilde,1667,2024-06-05 11:10:52,4,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Dios lo tenga gozando de su Reino 🙏🏻🙌🏻,1668,2024-06-05 11:14:54,0,0
"SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,""La gente buena siempre se nos adelanta 😔😔 perdemos a una gran persona. Dios lo tenga en su santa gloria y le brinde consuelo a toda su familia y amigos. Descanse en paz mi estimado Dr Bruker, mi compañero de baile como le decía cariñosamente. 🙏🙏"",1669,2024-06-05 11:19:35,0,0"
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Descanse en paz amén 🙏🙏,1670,2024-06-05 11:29:04,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Descanse en paz,1671,2024-06-05 11:31:06,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Dios le conseda el descanso eterno,1672,2024-06-05 11:34:25,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,Lamentable pérdida para la institución y para la comunidad manabita… que descanse en paz y goce de la gloria de Dios el Dr. Brucker García,1673,2024-06-05 11:34:41,0,0
SolcaPortoviejo/192107524275402_769191252057662/192107524275402_769191252057662,NUESTRO ABRAZO SOLIDARIO DE SENTIDAS CONDOLENCIAS A SU FAMILIA Y S SOLCA MANABÍ. BRUCKER FUÉ UN SER HUMANO EXCEPCIONALMENTE NOBLE BONDADOSO Y DE AMISTAD SIN LÍMITES. LO RECORDAREMOS SIEMPRE CON SU SONRISA GENEROSA  QUE TRANSPARENTABA LA PUREZA DE SU ALMA.  DIOS LL TENDRÁ EB SU GLORIA INFINITA,1674,2024-06-05 11:35:45,4,0
SolcaPortoviejo/192107524275402_769050695405051/192107524275402_769050695405051,Están atendiendo a los pacientes del msp?,1676,2024-06-05 20:34:46,0,0
SolcaPortoviejo/192107524275402_768990055411115/192107524275402_768990055411115,👏,1679,2024-06-05 01:58:34,0,0
SolcaPortoviejo/192107524275402_768990055411115/192107524275402_768990055411115,👏,1680,2024-06-05 04:57:09,0,0
SolcaPortoviejo/192107524275402_768986585411462/192107524275402_768986585411462,Amén,1682,2024-06-04 20:32:17,0,0
"SolcaPortoviejo/192107524275402_768986585411462/192107524275402_768986585411462,""Por favor ayúdenos con la entrega de la medicina Olaparib, desde el mes de abril  no están entregando esta medicina."",1683,2024-06-07 23:25:24,0,0"
"SolcaPortoviejo/192107524275402_767709198872534/192107524275402_767709198872534,""Sentidas condolencias, paz en su tumba"",1691,2024-06-02 16:44:46,0,0"
SolcaPortoviejo/192107524275402_767709198872534/192107524275402_767709198872534,Misas sentidas Condolencias a Solca Quito tuve la oportunidad de conocerlo como paciente sentidas condolencias a sus familiares Paz en su Tumba,1692,2024-06-02 18:07:07,0,0
"SolcaPortoviejo/192107524275402_767709198872534/192107524275402_767709198872534,""Mucha pena ,un caballero, QEPD."",1693,2024-06-02 20:27:23,0,0"
SolcaPortoviejo/192107524275402_767709198872534/192107524275402_767709198872534,Paz en su tumba,1694,2024-06-03 00:12:51,0,0
SolcaPortoviejo/192107524275402_767709198872534/192107524275402_767709198872534,Dios guarde el alma del Sr. Espinosa,1695,2024-06-04 20:50:23,0,0
SolcaPortoviejo/192107524275402_767144772262310/192107524275402_767144772262310,Feliz día a estos pequeños guerreros,1700,2024-06-01 17:32:12,0,0
SolcaPortoviejo/192107524275402_767144772262310/192107524275402_767144772262310,Bendiciones infinitas a los niños guerreros,1702,2024-06-01 22:12:50,0,0
SolcaPortoviejo/192107524275402_766645345645586/192107524275402_766645345645586,Sigan con su valiosa labor para los ciudadanos mañanitas.  Condolencias por la pérdida de uno de sus grandes colaboradores el Dr García Loor.  🙏🙏🙏,1712,2024-06-05 15:04:49,0,0
SolcaPortoviejo/192107524275402_766596238983830/192107524275402_766596238983830,Hermoso  homenaje a los pequeños guerreros festejando su día. DÍA DEL NIÑO,1714,2024-05-31 18:47:11,0,0
SolcaPortoviejo/192107524275402_766596238983830/192107524275402_766596238983830,Dios bendiga a cada uno de esos gerreros hermosos,1716,2024-05-31 19:05:48,0,0
SolcaPortoviejo/192107524275402_766596238983830/192107524275402_766596238983830,Diosito Bendigas siempres estos Grandes Guerreros De Dios  Fuerzas Mis Lindos Niños del Mundo Enteros Dios está con ustedes 👌💪💪💪💪👏👏👏👏👏🙏🙏🙏🙏🙏✍️✍️♥️🥰🥰🥰🥰,1717,2024-05-31 19:27:32,1,0
SolcaPortoviejo/192107524275402_766596238983830/192107524275402_766596238983830,Dios les bendiga siempre con salud a estos pequeños angelitos guerreros,1718,2024-05-31 20:06:10,0,0
SolcaPortoviejo/192107524275402_766596238983830/192107524275402_766596238983830,Dios bendiga a cada pequeño guerrero,1719,2024-05-31 20:15:03,0,0
SolcaPortoviejo/192107524275402_766596238983830/192107524275402_766596238983830,Diosito bendiga a todos los niños y que la Virgen de Monserrate los cure a todos,1721,2024-05-31 20:51:20,0,0
SolcaPortoviejo/192107524275402_766596238983830/192107524275402_766596238983830,DIOS  LES DE SANACION.AMEN,1722,2024-05-31 21:05:36,0,0
SolcaPortoviejo/192107524275402_766596238983830/192107524275402_766596238983830,Que  Dios  los bendiga  siempre  a cada uno  de  ellos a esos  guerreros que  luchan día a día y Asus papitos  también  que con su fe luchan día a día bendiciones  a todos  🙏,1723,2024-05-31 21:33:02,0,0
SolcaPortoviejo/192107524275402_766596238983830/192107524275402_766596238983830,Lindo homenaje a los niños bendiciones para todos,1724,2024-05-31 21:36:42,0,0
SolcaPortoviejo/192107524275402_766596238983830/192107524275402_766596238983830,Dios los bendiga 🙏,1725,2024-05-31 22:44:18,0,0
SolcaPortoviejo/192107524275402_766596238983830/192107524275402_766596238983830,Un feliz día del niño a todos estos hermosos guerreros de Dios que la pasen de lo más lindo en bendición de Dios y que les de la fuerza necesaria para seguir luchando y ganar la batalla..❤️,1727,2024-06-01 20:24:42,0,0
SolcaPortoviejo/192107524275402_766594412317346/192107524275402_766594412317346,Felicidades preciosos que Dios les bendiga,1729,2024-05-31 17:41:30,0,0
SolcaPortoviejo/192107524275402_766594412317346/192107524275402_766594412317346,Felicidades,1730,2024-05-31 21:18:16,0,0
SolcaPortoviejo/192107524275402_766594412317346/192107524275402_766594412317346,Muchas bendiciones ♥️🙏,1731,2024-05-31 22:28:24,0,0
SolcaPortoviejo/192107524275402_766594412317346/192107524275402_766594412317346,Muchas bendiciones,1732,2024-06-01 03:21:43,0,0
SolcaPortoviejo/192107524275402_766594412317346/192107524275402_766594412317346,Feliz día  Dios melos bendiga siempre,1733,2024-06-01 11:41:15,0,0
SolcaPortoviejo/192107524275402_766594412317346/192107524275402_766594412317346,Felíz Día a Los Niños preciosós....besitos....,1734,2024-06-01 15:00:22,0,0
SolcaPortoviejo/192107524275402_766594412317346/192107524275402_766594412317346,Feliz día del niño,1735,2024-06-01 15:39:53,0,0
SolcaPortoviejo/192107524275402_766594412317346/192107524275402_766594412317346,Amen,1736,2024-06-01 17:26:28,0,0
SolcaPortoviejo/192107524275402_766594412317346/192107524275402_766594412317346,Felicidades a los  lindos niños que Dios me los bendiga siempre,1737,2024-06-01 21:17:57,0,0
"SolcaPortoviejo/192107524275402_2563734600465254/192107524275402_2563734600465254,""El Dr. Felipe Xavier Kon Jara, en esa foto... marca la juventud.. Muy buen tema y conferencia..  saludos"",1745,2024-05-31 13:25:35,0,0"
SolcaPortoviejo/192107524275402_2563734600465254/192107524275402_2563734600465254,Lo está viendo desde la parroquia quiroga,1746,2024-05-31 13:29:57,0,0
SolcaPortoviejo/192107524275402_2563734600465254/192107524275402_2563734600465254,💗,1747,2024-05-31 17:30:50,0,0
SolcaPortoviejo/192107524275402_766005142376273/192107524275402_766005142376273,Por favor. Necesitamos que paguen para seguir con nuestro tratamiento.,1757,2024-05-30 18:28:55,0,0
SolcaPortoviejo/192107524275402_766005142376273/192107524275402_766005142376273,Porfavor compartir,1758,2024-05-30 19:58:35,0,0
SolcaPortoviejo/192107524275402_766005142376273/192107524275402_766005142376273,Esperanza de vida,1759,2024-05-30 19:58:45,0,0
SolcaPortoviejo/192107524275402_766005142376273/192107524275402_766005142376273,Daniel Noboa  Azin su atención piedad porfavor,1760,2024-05-30 19:59:03,0,0
SolcaPortoviejo/192107524275402_766005142376273/192107524275402_766005142376273,Por favor ya es tiempo que  se resuelva este inconveniente de pago a Solca. Necesitamos seguir con nuestro tratamiento. SOLCA ES VIDA,1761,2024-05-30 22:40:21,0,0
SolcaPortoviejo/192107524275402_766005142376273/192107524275402_766005142376273,Señor presidente usted está jugando con nuestras vidas somos pacientes oncológicos y necesitamos continuar con el tratamiento xq se nos niega el derecho de atención si nuestros pagos son puntuales mi pregunta es q asen el dinero q aportamos como afiliado al IESS,1762,2024-05-31 04:32:23,0,0
SolcaPortoviejo/192107524275402_765970729046381/192107524275402_765970729046381,Amen,1769,2024-05-30 18:00:44,0,0
SolcaPortoviejo/192107524275402_765394189104035/192107524275402_765394189104035,Solca una esperanza de vida,1775,2024-06-01 15:13:48,0,0
SolcaPortoviejo/192107524275402_764764882500299/192107524275402_764764882500299,Dios permita estos inconvenientes se solucionen pronto por el bien de los pacientes 🙏🏻🙌🏻,1783,2024-05-28 15:18:25,3,0
"SolcaPortoviejo/192107524275402_764764882500299/192107524275402_764764882500299,""Amén ojalá solucionen eso de verdad, preservar la vida  de los pacientes es una bendición que les caerá del cielo, Dios bendiga"",1784,2024-05-28 15:34:14,1,0"
SolcaPortoviejo/192107524275402_764764882500299/192107524275402_764764882500299,S por favor q s soluciones yo soy una paciente y no  m puedo hacer una biopsia,1785,2024-05-28 15:40:26,1,0
SolcaPortoviejo/192107524275402_764764882500299/192107524275402_764764882500299,🙏🙏🙏🙏k se solucione todo pronto y se puedan continuar los tratamientos con normalidad,1786,2024-05-28 16:20:26,1,0
"SolcaPortoviejo/192107524275402_764764882500299/192107524275402_764764882500299,""Que Jesucristo entre en las mentes y corazones de quienes estén encargados de todos estos pagos, que Dios bendiga la vida y la salud de todos quienes hagan posible que se solucionen todos estos inconvenientes y los pacientes (niñ@s y adultos) vuelvan a recibir en su totalidad sus tratamientos, si pagamos nuestros impuestos y nuestros seguros, deberia ser para recibir ayuda oportuna"",1787,2024-05-28 16:33:12,0,0"
"SolcaPortoviejo/192107524275402_764764882500299/192107524275402_764764882500299,""Pagar a los prestadores externos, sí, las deudas se deben pagar. Simultáneamente se debe fortalecer los hospitales públicos con técnicas de apoyo diagnóstico y terapéutico en cáncer, lo que a mediano plazo permitirá ahorrar recursos y acortar tiempos de respuesta, lo cual es necesario en condiciones oncológicas."",1788,2024-05-28 17:03:42,3,0"
"SolcaPortoviejo/192107524275402_764764882500299/192107524275402_764764882500299,""Da pena y enojo  con los encargados del seguro Social, q jueguen con la salud Delos afiliados del seguro ,y q pertenecemos al Solca x convenio , q vallamos a solca ,y tengamos q pagar  x los servicios medicos  ,o exámenes   ,cuando uno es puntual  en los pagos del seguro,me preguntó q hacen  con  nuestro dineros,q uno paga mes a mes deberían ir ala cárcel  x jugar con la salud d los pacientes"",1789,2024-05-28 20:49:24,2,0"
SolcaPortoviejo/192107524275402_764764882500299/192107524275402_764764882500299,Padre celestial ayuda a mejorar el inconveniente y se cansele la deuda xq somos muchos los pacientes del ministerio q nos emos quedado sin atención médica sin cirugías sin nada,1790,2024-06-03 18:16:10,0,0
SolcaPortoviejo/192107524275402_764303949213059/192107524275402_764303949213059,Que Bendición más grande muchas felicidades guerrera 🙏🙏,1796,2024-05-27 19:28:40,0,1
SolcaPortoviejo/192107524275402_764303949213059/192107524275402_764303949213059,Dios es grande y misericordioso y con mucha fé siga adelante  está hermosa guerrera,1797,2024-05-27 20:27:19,0,0
SolcaPortoviejo/192107524275402_764303949213059/192107524275402_764303949213059,Bendiciones,1798,2024-05-27 21:10:17,0,1
SolcaPortoviejo/192107524275402_764303949213059/192107524275402_764303949213059,Viviana Sornoza gracias,1799,2024-05-27 23:53:15,0,0
SolcaPortoviejo/192107524275402_764303949213059/192107524275402_764303949213059,Viviana Sornoza gracias,1800,2024-05-27 23:53:24,0,0
SolcaPortoviejo/192107524275402_764303949213059/192107524275402_764303949213059,Lisseth Pereira gracias,1801,2024-05-27 23:53:33,0,0
SolcaPortoviejo/192107524275402_764303949213059/192107524275402_764303949213059,Dios la llene de salud y fortaleza que siga en la lucha 💪🏻 guerrera,1803,2024-05-28 01:42:59,0,0
SolcaPortoviejo/192107524275402_764303949213059/192107524275402_764303949213059,Bendiciones,1804,2024-05-28 18:02:45,0,0
SolcaPortoviejo/192107524275402_764303949213059/192107524275402_764303949213059,Dios bendiga su salud y a la labor de Solca,1805,2024-05-28 21:30:35,0,0
SolcaPortoviejo/192107524275402_764303949213059/192107524275402_764303949213059,Dios te de la fé y fortaleza rocío eres un guerrera 🙏🙏🙏,1806,2024-05-28 22:03:59,0,0
SolcaPortoviejo/192107524275402_764303949213059/192107524275402_764303949213059,Dios la siga bendiciendo hermosa guerrera,1808,2024-05-31 21:06:01,0,0
"SolcaPortoviejo/192107524275402_764301392546648/192107524275402_764301392546648,""Dios te bendiga amiga, espero volvernos a ver muy pronto, sigue luchando, batallando, por qué eres una guerrera🙏🏻🙏🏻🙏🏻"",1810,2024-05-27 19:31:05,0,0"
"SolcaPortoviejo/192107524275402_764301392546648/192107524275402_764301392546648,""Dios la siga bendiciendo bien por ella, nosotros hoy lloramos por mi hermana que no logro superar ese cáncer"",1811,2024-05-27 19:43:24,0,0"
SolcaPortoviejo/192107524275402_764301392546648/192107524275402_764301392546648,Nuestra fé es inquebrantable... Siempre han sido sus tiempos y no los nuestros... Te amo mi brujis 💖🙌🏻🤲🏻🙏🏼💪🏻,1812,2024-05-27 22:01:36,0,0
"SolcaPortoviejo/192107524275402_764301392546648/192107524275402_764301392546648,""Bendito sea Dios, que le dio la fortaleza para que supere esta prueba, los tiempos de Dios son perfecto . Adelante mujer guerrera"",1813,2024-05-27 22:08:24,0,0"
SolcaPortoviejo/192107524275402_764301392546648/192107524275402_764301392546648,Felicidades mi. Linda maestra ❤️,1814,2024-05-27 23:38:16,0,0
SolcaPortoviejo/192107524275402_764301392546648/192107524275402_764301392546648,Felicidades Prima.  💪,1815,2024-05-27 23:45:23,0,0
"SolcaPortoviejo/192107524275402_764301392546648/192107524275402_764301392546648,""Muchas felicidades por esta etapa difícil de su vida, has demostrado una valentía y una fortaleza inigualables, enfrentando esta batalla dura y dificil  con una determinación admirable.Tu lucha ha sido un verdadero ejemplo de perseverancia y coraje, y hoy celebramos tu victoria. Has vencido una batalla muy dura y eso habla de tu espíritu invencible. Sigue adelante con la misma fuerza y optimismo que te han llevado hasta aquí. Te mereces toda la felicidad del mundo y estoy seguro de que el futuro te depara cosas maravillosas.🎉felicitaciones 🎉"",1816,2024-05-27 23:45:55,1,0"
SolcaPortoviejo/192107524275402_764301392546648/192107524275402_764301392546648,Q bien mi gente de la Quimio siempre adelante,1817,2024-05-28 00:51:45,1,0
SolcaPortoviejo/192107524275402_764301392546648/192107524275402_764301392546648,AMÉN,1818,2024-05-28 11:38:29,0,0
SolcaPortoviejo/192107524275402_764301392546648/192107524275402_764301392546648,Amén bendiciones dios hizo su obra amén,1819,2024-05-28 13:19:55,0,0
"SolcaPortoviejo/192107524275402_764301392546648/192107524275402_764301392546648,""¡Feliz día del niño!, qué mejor regalo por el día del niño que obsequiarle una cobertura médica a tu hijo✨  Contamos con planes para tus hijos desde $36  👩🏻 @helensegurosmedicos 📲 Contáctame al: 0983925795  Obtén un Seguro Médico Familiar 👇🏻  🏥 100% en hospitalización 👨‍⚕️ Todas las especialidades médicas. 📱 100% digital con nuestra app. 🔬 Exámenes de laboratorio. 💊 Medicinas. 🦷 Plan dental. 🗺️ Alcance Internacional.  📣SIN REEMBOLSO🫵🏻  #Guayaquil #Ecuador #SeguroMédico #AtenciónMédica #Medicina #PlanSeguroFamiliar #PlanSeguroInfantil #SaludSa #100PreCubierto #SeguroSalud #DíadelNiño"",1820,2024-06-01 18:50:46,0,0"
SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,Bendiciones ñañita Dios es fiel,1822,2024-05-27 19:27:36,1,0
SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,Esa es mi guerrera siempre trinfantes como su suegra bien fuerte y con mucha fe,1823,2024-05-27 19:31:33,0,0
"SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,""Muchas Bendiciones 🙏 por la buena noticia todo es obra de Dios, felicidades 🎉"",1824,2024-05-27 19:33:43,0,0"
"SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,""Dios te bendiga amiga, un gusto haberte conocido, espero nos volvamos a ver muy pronto, sigue luchando,, por qué eres una guerrera🙏🏻🙏🏻🙏🏻"",1826,2024-05-27 19:33:54,0,0"
SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,Hermosa guerrera. Dios la siga bendiciendo 🙏  😘 que viva mi prima bella 😍,1827,2024-05-27 19:39:17,0,0
"SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,""Mi bella Gina te quiero mucho es para toda la familia un momento de gran dicha estamos contigo en cada paso de este proceso, estamos siempre en oración por ti y la familia"",1828,2024-05-27 19:42:21,0,0"
"SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,""Bendiciones millon Yinita , ahí vamos tomaditas de la mano de mi Dios 🙏🏻, abrazos  con mucho cariño 💕 😘 🤗 🙏🏻"",1829,2024-05-27 19:52:38,0,0"
SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,Así es ...Dios y nuestra fe como familia y todos unidos en este caminar y una vez más que Dios es misericordioso..el hace promesas y nunca nos abandona ..siga adelante comadre Gina ud es una guerrera..todas las bendiciones de vida y salud para ud. Un abrazo fuerte ante esta batalla ..ud es una guerrera de vida,1830,2024-05-27 19:56:40,0,0
"SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,""Dios te bendiga querida guerrera, excelente noticia. Dios te acompañe en tu tratamiento. Un abrazo"",1831,2024-05-27 20:05:54,0,0"
SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,De Dios es la Gloria 🙏 Bendiciones infinitas siga cuidandose para que siga gozando de ese hermoso regalo del Señor 🙏la vida y la familia 💝,1832,2024-05-27 20:16:44,1,0
SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,No hay q perder la fe 🙏🏻Dios es bueno 🙏🏻… … Felicidades y a seguir adelante 💪🏻,1833,2024-05-27 20:47:25,1,0
SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,Amén,1834,2024-05-27 21:12:35,0,0
SolcaPortoviejo/192107524275402_764300269213427/192107524275402_764300269213427,🙏🙏,1835,2024-05-27 21:20:13,0,0
